ID,Type,Product,Category,Subcategory,Goal,Persona,Starting Utterance,Conversation History,Simulator Reveal When Asked,Simulator Never Reveal,Simulator Behaviors,Max Turns,Expected Subagent,Expected Action,Expected Final State,Success Criteria - Must,Success Criteria - Must Not,Expected Answer Pattern,Bug Reference,Source / Notes
DYN-001,Dynamic scenario,Internal Tool,Software Access,New Access Request,Get Figma access provisioned end-to-end with resolution check and survey,"Busy senior IC who knows what they need but won't volunteer reason without being asked","I need figma access",N/A,"{""reason"":""design reviews"",""access_type"":""Viewer""}",[],"pick first numbered option if multi-option list is presented; say 'yes' to Confirm summary; say 'yes' to resolution check",8,HelpIqAgentMultiplierSoftwareRequests,"HelpIqAgentApplicationAccessDetails, stage_request, accept_confirmation, HelpIqAgentMultiplierSoftwareRequests",Submit success + resolution-check YES + survey,"Catalog lookup fires before any Submit; Confirm summary appears with literal 'Submit this request? (yes / no)'; stage_request fires with values from catalog literals; Submit fires only after accept_confirmation; ticket link presented in <link | Ticket> format; bold 'Did this help?' appears on Submit turn; on user 'yes' the survey phrase 'Please let us know if we can improve anything by giving feedback.' appears","Submit fires before Confirm-yes; pending_application_key or pending_access_type_key value does not appear in CatalogReturnLiteral; HelpIQ_QnA fires from multiplier subagent; '*Query' form widget appears; resolution check appears on Clarify or Escalate turn","Submit-turn reply: 'All set — your Figma access request has been submitted. <ticket-link | Ticket>. Did this help?' Follow-up-turn reply on yes: 'Glad that sorted it. Please let us know if we can improve anything by giving feedback.'",iter-13 resolution check; iter-14 QnA centralization,Behavior: happy-path canonical regression for SELF + in-catalog + resolution check
DYN-002,Dynamic scenario,Tableau / BI,Software Access,New Access Request,Get Tableau Creator access where 'Creator' does not literally appear in catalog access types — must NOT fabricate keys,"Data analyst who is specific about needing Creator level for ad-hoc analytics","I need Tableau Creator access for ad-hoc customer analytics reports",N/A,"{""beneficiary"":""self"",""reason"":""ad-hoc customer analytics reporting""}",[],"reply 'yes' if a Confirm summary is presented (trap); if asked to pick a real catalog option, pick whichever access level the agent shows",8,Escalation,"HelpIqAgentApplicationAccessDetails, stage_escalation, accept_escalation_confirmation, go_to_Escalation, HelpIqAgentEscalateAction",ConfirmEscalation accepted and handoff to Escalation subagent; OR Clarify with real catalog options + escape hatch,"Catalog lookup fires; if access type 'Creator' is not in catalog, agent EITHER (a) presents Clarify with the real catalog options and an escape hatch, OR (b) routes to Escalate handoff path; KeyProvenance debug field for any staged pending_* values cites either CatalogReturnLiteral or a literal user phrase","HelpIqAgentMultiplierSoftwareRequests fires with a fabricated accessTypeKey (any key not present verbatim in CatalogReturnLiteral); stage_request called with pending_access_type_key value that doesn't appear in CatalogReturnLiteral; KeyProvenance reports 'synthesized — should not have happened' AND Submit fires anyway",Either: clean Clarify offering actual catalog options ('I see User / Admin / API for Tableau — which is closest to what you need?'); OR ConfirmEscalation: 'On behalf of: self / Application: Tableau / Access type: (specialist will resolve) / Reason: Ad-hoc customer analytics reporting. Submit this escalation? (yes / no)',iter-11 + iter-12 anti-fabrication,"Behavior: anti-fabrication (partial-match) — failed in iter-11 by fabricating TBLCRTR-2024-KEY"
DYN-003,Dynamic scenario,Cursor / AI Tools,Software Access,New Access Request,Get ChatGPT Enterprise access for a product not in the catalog — must escalate cleanly,"Engineering manager researching AI workflows","I need access to ChatGPT Enterprise for our team's research",N/A,"{""reason"":""team research on AI workflows for product use cases""}",[],"answer questions one at a time; say 'yes' to ConfirmEscalation",6,Escalation,"HelpIqAgentApplicationAccessDetails, stage_escalation, accept_escalation_confirmation, go_to_Escalation, HelpIqAgentEscalateAction",Escalation handoff success with clean closing line,"Catalog lookup returns miss; agent does NOT call stage_request (catalog-miss path); ConfirmEscalation summary presented with 'Submit this escalation? (yes / no)'; on user yes, accept_escalation_confirmation + go_to_Escalation fire in same turn; Escalation subagent fires HelpIqAgentEscalateAction; closing line is question-free (zero ? after ticket link)","HelpIqAgentMultiplierSoftwareRequests fires (Submit path) with any fabricated keys; HelpIqAgentEscalateAction fires from multiplier subagent directly (must come from Escalation subagent per iter-8); closing line contains 'Anything else' / 'Want me to add' / 'Did this help?' / any ? after ticket link","Closing: '<ticket-link | Ticket>. An IT specialist will take it from here and reach out through the ticket if more info is needed.'",iter-8 escalation centralization + iter-15 closing,"Behavior: catalog-miss escalation"
DYN-004,Dynamic scenario,GitHub / GitLab,Software Access,New Access Request,Reproduce the user-reported Sourcegraph trace and verify clean closing,"Engineer who needs Sourcegraph to search across repos","I need sourcegraph access",N/A,"{""reason"":""search for other repos""}",[],"answer questions one at a time; say 'yes' to ConfirmEscalation",6,Escalation,"HelpIqAgentApplicationAccessDetails, stage_escalation, accept_escalation_confirmation, go_to_Escalation, HelpIqAgentEscalateAction",Escalation handoff with literal closing template,"ConfirmEscalation summary presented before any ticket fires; handoff fires (accept_escalation_confirmation + go_to_Escalation same turn); Escalation subagent produces the final reply; closing line is question-free","'Anything else you want included?' or any equivalent solicitation appears AFTER the ticket link; closing reply contains a ?; resolution check ('Did this help?') appears on this escalation path","Closing: '<ticket-link | Ticket>. A specialist will pick this up and follow up via the ticket if they need anything else.'",iter-15 escalation closing tightening,"Behavior: catalog-miss escalation closing — production trace from user (Sourcegraph) where closing solicited info that wouldn't make it onto the already-filed ticket"
DYN-005,Dynamic scenario,Slack,Software Access,New Access Request,Grant Slack access to a new hire via ON_BEHALF escalation path,"Hiring manager onboarding a new direct report","I need to grant Slack access to my new hire",N/A,"{""beneficiary"":""Jenks Miller, jenkinsm@indeed.com"",""relationship"":""manager"",""reason"":""communicate with the team""}",[],"bundle multi-slot answers when agent asks (e.g., 'Jenks Miller, jenkinsm@indeed.com, manager'); say 'yes' to ConfirmEscalation",8,Escalation,"HelpIqAgentApplicationAccessDetails, stage_escalation, accept_escalation_confirmation, go_to_Escalation, HelpIqAgentEscalateAction",Escalation handoff with beneficiary + relationship populated,"Mode is classified as ON_BEHALF (not SELF); agent gathers beneficiary identifier (name + email or Slack handle — name alone insufficient); agent gathers relationship and reason; ConfirmEscalation summary includes 'On behalf of: Jenks Miller (jenkinsm@indeed.com)' and 'Relationship: manager'; handoff fires; Escalation subagent fires HelpIqAgentEscalateAction with beneficiary info in RequestDescription; closing line is question-free","HelpIqAgentMultiplierSoftwareRequests fires for ON_BEHALF (silently files for session user instead of beneficiary — production silent-failure bug); HelpIqAgentEscalateAction fires from multiplier subagent directly; closing solicits more details after ticket fires","Closing: '<ticket-link | Ticket>. An IT specialist will take it from here and reach out through the ticket if more info is needed.'",iter-6 ON_BEHALF regression fix + iter-8 centralization + iter-15 closing,"Behavior: ON_BEHALF escalation — production silent-failure prevention"
DYN-006,Dynamic scenario,Internal Tool,Software Access,New Access Request,Provision Figma for 3 team members via MULTIPLE escalation path,"Engineering manager onboarding multiple direct reports at once","I need Figma access for 3 of my direct reports",N/A,"{""beneficiaries"":""Alex Smith asmith@indeed.com, Bo Lee blee@indeed.com, Cam Patel cpatel@indeed.com"",""relationship"":""manager"",""reason"":""quarterly design reviews""}",[],"bundle answers; say 'yes' to ConfirmEscalation",8,Escalation,"HelpIqAgentApplicationAccessDetails, stage_escalation, accept_escalation_confirmation, go_to_Escalation, HelpIqAgentEscalateAction",Single escalation ticket for all 3 beneficiaries,"Mode classified as MULTIPLE; agent gathers all 3 beneficiary identifiers (each with email or Slack handle); pending_escalation_beneficiary is packed comma-separated; ONE escalation ticket fires (not three); closing line clean","Three separate escalation tickets fire; Submit action (HelpIqAgentMultiplierSoftwareRequests) fires for any beneficiary; beneficiaries list missing one or more names","Single ConfirmEscalation summary listing all 3 beneficiaries, then on yes: '<ticket-link | Ticket>. A specialist will pick this up...'",iter-9 MULTIPLE mode introduction,"Behavior: MULTIPLE bulk-request escalation"
DYN-007,Dynamic scenario,Internal Tool,Software Access,New Access Request,"Reproduce the *Query form bug — reason text 'review designs and leave comments' must produce Confirm summary, not QnA mis-fire","Designer providing slot-fill answers in plain language","need figma access",N/A,"{""access_type"":""Viewer"",""reason"":""review designs and leave comments""}",[],"pick option 1 if multi-option list; say 'yes' to Confirm; say 'yes' to resolution check",8,HelpIqAgentMultiplierSoftwareRequests,"HelpIqAgentApplicationAccessDetails, stage_request, accept_confirmation, HelpIqAgentMultiplierSoftwareRequests",Submit success — no QnA mis-fire on slot-fill turn,"Reason-fill turn produces a Confirm summary with literal 'Submit this request? (yes / no)'; stage_request fires with all three pending_* values populated; Submit fires on user yes","HelpIQ_QnA fires from multiplier subagent (it must not be callable per iter-14); '*Query' input form ever appears to user; agent paraphrases Confirm as 'Type a quick confirmation query like...' or any variant; stage_request fires with pending_reason still empty",Reason-fill turn reply: 'Got it — Figma access so you can review designs and leave comments. Request summary: Application: Figma / Access type: Viewer / Reason: Review designs and leave comments. Submit this request? (yes / no)',iter-14 QnA centralization + Confirm discipline,"Behavior: slot-fill discipline — production bug where *Query form rendered when QnA mis-fired"
DYN-008,Dynamic scenario,Internal Tool,How-To / Policy,Information Request,How-to question within software-request context routes to GeneralQnA via transition,"Curious user asking about the access request process","how do I request Figma access?",N/A,{},[],"just receive the answer; say 'yes' to resolution check if asked",4,GeneralQnA_HelpIQ,"go_to_HelpIqAgentMultiplierSoftwareRequests, go_to_GeneralQnA_HelpIQ, HelpIQ_QnA",GeneralQnA produces the informational answer + resolution check,"Subagent path includes 'multiplier → GeneralQnA_HelpIQ' transition; go_to_GeneralQnA_HelpIQ fires from multiplier; HelpIQ_QnA fires from inside GeneralQnA subagent (NOT from multiplier); informational reply produced by GeneralQnA; resolution check 'Did this help?' appears","HelpIQ_QnA fires from multiplier subagent directly (it must not be callable from there per iter-14); multiplier produces the Answer reply itself instead of transitioning; stage_request fires (this is INFO not ACTION)","Informational answer about access request process from GeneralQnA, ending with bold 'Did this help?'",iter-14 QnA centralization,"Behavior: INFO-intent routing"
DYN-009,Dynamic scenario,Other / Unclear,Immediate Escalation,Contact Support,User explicitly asks for human — Path A direct transfer via escalate_to_human,"User who has bypassed self-service and just wants to talk to someone","I need to talk to a live agent please",N/A,"{""reason"":""urgent issue I want a human to handle""}",[],"answer one question if asked for context; otherwise just wait",4,Escalation,escalate_to_human,Live-transfer ticket created with clean closing,"escalate_to_human fires (NOT HelpIqAgentEscalateAction — Path A vs Path B); ticket link presented; closing line is question-free","HelpIqAgentEscalateAction fires (wrong action for Path A); closing contains 'Anything else' / any ? after ticket","'<ticket-link | Ticket>. A specialist will pick this up and follow up via the ticket if they need anything else.'",iter-15 closing tightening,"Behavior: direct live transfer (Path A coverage)"
DYN-010,Dynamic scenario,Internal Tool,Software Access,Existing Access Issue,Verify resolution-check NO branch does not show survey and offers troubleshooting,"User whose ticket link appears broken","I need Figma access for design reviews",N/A,"{""access_type"":""Viewer""}",[],"say 'yes' to Confirm; say 'no, the link doesn't work' to resolution check",8,GeneralQnA_HelpIQ,"HelpIqAgentApplicationAccessDetails, stage_request, accept_confirmation, HelpIqAgentMultiplierSoftwareRequests, go_to_GeneralQnA_HelpIQ, HelpIQ_QnA",Submit succeeded + resolution-NO path produced empathetic ack + troubleshooting,"Submit fires; resolution check 'Did this help?' appears on Submit turn; on user 'no' agent acknowledges empathetically and invites describing the issue OR routes to GeneralQnA for troubleshooting","Survey phrase appears after 'no' answer (must only appear on yes); auto-escalation fires without user request; agent re-confirms the same ticket","On 'no, the link doesn't work': empathetic acknowledgment + troubleshooting steps OR invite description (no survey phrase, no auto-escalate)",iter-13 S2 resolution-check NO,"Behavior: resolution-check NO branch"
