source,product,category,subcategory,utterance,expected_subagent,expected_action,source_chat_id
tagged-multiplier,Google Workspace,Software Access,New Access Request,Requesting to create Google Suite credential for n8n workflow,HelpIqAgentMultiplierSoftwareRequests,,019d96d3-98ba-7b19-9b84-de6452b8e183
tagged-multiplier,Internal Tool,Software Access,New Access Request,I need an access to Waldo and Mechabugs,HelpIqAgentMultiplierSoftwareRequests,,019d93e5-021d-7795-b84e-5fadffd0d6a2
tagged-multiplier,Tableau / BI,Software Access,New Access Request,Did something change with the permissions of a service account? mailto:svc_idash_testing@indeed.com can no longer log into Idash QA. We need this account for E2E testing purposes.,HelpIqAgentMultiplierSoftwareRequests,,019d8c77-5d75-778d-96c1-277b8d116057
tagged-multiplier,Seismic,Software Access,New Access Request,I need help accessing Seismic through external credentials.,HelpIqAgentMultiplierSoftwareRequests,,019d6ba8-5ec5-7ff2-a331-560cf3b237fb
tagged-multiplier,Cursor / AI Tools,Software Access,New Access Request,Can I please get access to Cursor?,HelpIqAgentMultiplierSoftwareRequests,,019d97e6-1bd0-75b5-99f8-ad780eb49335
tagged-multiplier,Slack,Software Access,New Access Request,I need the to the slack access token and secret in order to connect the slack for the workflow in the n8n prd instance. Attached is the screenshot. Can you please create the ticket ?,HelpIqAgentMultiplierSoftwareRequests,,019d6dc4-a1ce-7b21-9891-c59b1551ec0d
tagged-multiplier,Internal Tool,Software Access,Vendor / External Access,"A contractor needs access to Glean for a project, but they are not showing up in the normal request flow.",HelpIqAgentMultiplierSoftwareRequests,,
tagged-multiplier,Zoom,Software Access,License Request,"Hello, My Zoom account is on Basic and my meetings end after 40 minutes. Please submit a software request to upgrade my Zoom licenseso I can host longer meetings. Thank you.",HelpIqAgentMultiplierSoftwareRequests,,019da9d3-e45c-71ed-90b3-6d04eaf82fe6
tagged-multiplier,Jira/JSM,Software Access,New Access Request,I have recently joined `Resume Parsing` team and I need access to Figma? Can you please create a IT ticket for the same?,HelpIqAgentMultiplierSoftwareRequests,,019d9a73-0b4c-70b2-928a-01b7f9e5aa70
tagged-multiplier,Tableau / BI,Software Access,New Access Request,"Hi There , i have recently came back off maternity leave - i cant get access to this link https://data.indeed.tech/crystal/chat/7ee313e6-156e-4d14-814b-aa9a70bad1c7",HelpIqAgentMultiplierSoftwareRequests,,019d862c-2a15-7317-b51a-1019e7b9c0bb
tagged-multiplier,Internal Tool,Software Access,New Access Request,<Assistant#U09MKKH50CR> I’m a contractor and I'm trying to access a Figma but I’m getting this error: “User is not assigned this application.” Could someone please help me with access?,HelpIqAgentMultiplierSoftwareRequests,,019d4ead-8d90-7650-b9ba-09a90a449068
tagged-multiplier,Cursor / AI Tools,Software Access,New Access Request,I need to get this service account access to Terraform Enterprise. mailto:svc_pexp_claudeworker@indeed.com,HelpIqAgentMultiplierSoftwareRequests,,019d9caa-c376-72c2-9a60-7ba294afa5c6
tagged-multiplier,Seismic,Software Access,New Access Request,"Hi, I want to connect with seismic, but i do not see the exteral credentials, what can i do?",HelpIqAgentMultiplierSoftwareRequests,,019d90f5-ef2e-7091-b447-58d8a2138ad6
tagged-multiplier,Glean,Software Access,Configuration / Settings,please enable “Adds a row to a Google sheet” action in glean,HelpIqAgentMultiplierSoftwareRequests,,019d6d50-f052-72d4-bb36-2176ddc869a8
tagged-multiplier,Tableau / BI,Software Access,New Access Request,I want to access idash. It's first time.,HelpIqAgentMultiplierSoftwareRequests,,019d7713-7dba-79e8-b234-3d4959ff4f5b
tagged-multiplier,Internal Tool,Software Access,New Access Request,"I need access permissions for Asana to manage tasks, track progress, and use Gantt chart functionality for system maintenance.",HelpIqAgentMultiplierSoftwareRequests,,
tagged-multiplier,Cursor / AI Tools,Software Access,New Access Request,get access to claude,HelpIqAgentMultiplierSoftwareRequests,,019dadb3-39e5-7f7a-a064-6fd5b36de6a0
tagged-multiplier,Tableau / BI,Software Access,New Access Request,I'm an AE that started Jan 1 and I currently do not have access to tableau - can I please have some assistance gaining access?,HelpIqAgentMultiplierSoftwareRequests,,019d6d18-aba0-7725-a4fe-63d014b9da2f
tagged-multiplier,Internal Tool,Software Access,New Access Request,I need access to Huddle,HelpIqAgentMultiplierSoftwareRequests,,019d875c-2e92-7966-a4e8-e1f0d3d1e0f2
tagged-multiplier,Seismic,Software Access,New Access Request,aura,HelpIqAgentMultiplierSoftwareRequests,,019d8586-6007-7273-996b-ae919c05f9ca
tagged-multiplier,Tableau / BI,Software Access,New Access Request,I need Tableau API access with Service Account (Viewer) permissions to retrieve campaign data and reflect the campaign budget in the forecast.,HelpIqAgentMultiplierSoftwareRequests,,019d6a94-f48d-7a9a-b2d3-7bcd1fc1ff09
tagged-multiplier,Google Workspace,Software Access,New Access Request,I need grammarly access,HelpIqAgentMultiplierSoftwareRequests,,019dac73-59c9-7295-b206-93c441f921f4
tagged-multiplier,Tableau / BI,Software Access,New Access Request,"It is a permissions issue with a service account (mailto:svc_idash_testing@indeed.com) that can no longer log into Idash QA, which is needed for E2E testing.",HelpIqAgentMultiplierSoftwareRequests,,
tagged-multiplier,Seismic,Software Access,New Access Request,I need access for connect with Seismic but I do not see the external credentials and need help resolving this.,HelpIqAgentMultiplierSoftwareRequests,,
tagged-multiplier,Cursor / AI Tools,Software Access,New Access Request,I need access to Cursor.,HelpIqAgentMultiplierSoftwareRequests,,
tagged-multiplier,Slack,Software Access,New Access Request,I need access to the Slack token and secret to create a workflow in the N8N PROD environment.,HelpIqAgentMultiplierSoftwareRequests,,
tagged-multiplier,Zoom,Software Access,License Request,I need access for my Zoom license upgraded so I can host longer meetings.,HelpIqAgentMultiplierSoftwareRequests,,
software-access-cat,Internal Tool,Software Access,New Access Request,I'd like to request access to Bulk Sending in DocuSign,GeneralQnA HelpIq,,019d9b8f-5b77-72f0-951d-f9dc79c0597b
software-access-cat,Other / Unclear,Software Access,New Access Request,I have a contract that is being termed that needs therir access removed immiedately .,GeneralQnA HelpIq,,019d8889-5e1d-7378-ae0f-eea162c315f0
software-access-cat,Okta,Software Access,New Access Request,how do I request access to floqast,GeneralQnA HelpIq,,019d8816-3b08-7215-a357-37a02b45582c
