suite,test_number,utterance,answer,expected_agent,actual_sub_agent,expected_tool,actual_tool,bug_yes_no,ai_recommendation,Review
pt1,4,Hiroto Yoshioka 16-17 April PTO (email: hyoshioka@indeed.com slack_user_id: WPD8U51P0) would like to request for three users masquerading features in QA Dradis from QA Skytree links. Can you create a ticket,I can’t create a ticket for this request from here. Please open a case with the Salesforce support team using this link: https://link.indeed.tech/sfcase  [[helpiq:EA=True]],GeneralQnA_HelpIQ,Escalation,['HelpIQ_QnA'],"['HelpIQ_QnA', 'HelpIQ_QnA']",No,Update expected sub agent to Escalation (explicit ticket/human/offboarding — v6 correct),Agreed
pt1,5,Hiroto Yoshioka 16-17 April PTO (email: hyoshioka@indeed.com slack_user_id: WPD8U51P0) would like to request for three users masquerading features in QA Dradis from QA Skytree links. Can you create a ticket,I can’t create that ticket from here. Please open a Salesforce support case using this link: https://link.indeed.tech/sfcase  [[helpiq:EA=True]],GeneralQnA_HelpIQ,Escalation,['HelpIQ_QnA'],['HelpIQ_QnA'],No,Update expected sub agent to Escalation (explicit ticket/human/offboarding — v6 correct),Agreed
pt1,6,Hiroto Yoshioka 16-17 April PTO (email: hyoshioka@indeed.com slack_user_id: WPD8U51P0) would like to request for three users masquerading features in QA Dradis from QA Skytree links. Can you create a ticket,I can’t create a ticket for this from here. Please open a Salesforce support case using this link: https://link.indeed.tech/sfcase  [[helpiq:EA=True]],GeneralQnA_HelpIQ,Escalation,['HelpIQ_QnA'],['HelpIQ_QnA'],No,Update expected sub agent to Escalation (explicit ticket/human/offboarding — v6 correct),Agreed
pt1,16,how do I get an image url hosted in salesforce?,"I wasn’t able to find a supported answer for this Salesforce issue. The Salesforce support team is the right next step, and you can open a case here: https://link.indeed.tech/sfcase  [[helpiq:EA=True]]",GeneralQnA_HelpIQ,Escalation,['HelpIQ_QnA'],['HelpIQ_QnA'],No,Update expected sub agent to Escalation (Salesforce/CRM sfcase-link path — v6 design),Agreed
pt1,17,how do I get an image url hosted in salesforce?,I can’t find a supported internal IT knowledge-base answer for hosting an image in Salesforce and generating a URL. The right next step is to contact the Salesforce support team by opening a case here: https://link.indeed.tech/sfcase  [[helpiq:EA=True]],GeneralQnA_HelpIQ,Escalation,['HelpIQ_QnA'],['HelpIQ_QnA'],No,Update expected sub agent to Escalation (Salesforce/CRM sfcase-link path — v6 design),Agreed
pt1,18,how do I get an image url hosted in salesforce?,"I wasn’t able to find a supported answer for hosting an image in Salesforce and getting a URL. The Salesforce support team is the right next step, and you can open a case here: https://link.indeed.tech/sfcase  [[helpiq:EA=True]]",GeneralQnA_HelpIQ,Escalation,['HelpIQ_QnA'],['HelpIQ_QnA'],No,Update expected sub agent to Escalation (Salesforce/CRM sfcase-link path — v6 design),Agreed
multi,152,Are you able to update urgency to low?,Got it. I can ask IT to update the urgency on your existing Help Center ticket (monitor arms request) to **low**.  - Issue: Change urgency on existing Help Center ticket to low - Details: Ticket is for “monitor arms” request; user asked to set urgency to low  Want me to submit it? [[helpiq:EA=True]],GeneralQnA_HelpIQ,Escalation,['HelpIQ_QnA'],['EscalationIntakeDiscovery'],Review,Possible premature escalation: IT question may be KB-answerable — check prompt/routing,ok to escalate
pt2,1084,Can you help me get an IT person on a call as a new contractor cannot access a lot of different systems,"Got it — you want to get an IT person on a call because a new contractor can’t access multiple systems.  What systems are they blocked from (for example: **Okta** login/MFA, email, Slack, VPN, Jira, GitHub), and what’s the contractor’s Indeed email or username?  [[helpiq:EA=True]]",GeneralQnA_HelpIQ,Escalation,['HelpIQ_QnA'],[],Review,Possible premature escalation: IT question may be KB-answerable — check prompt/routing,ok to escalate
pt2,1085,Can you help me get an IT person on a call as a new contractor cannot access a lot of different systems,"Got it — you want to get an IT person on a call because a new contractor can’t access multiple systems.  What systems are they blocked from (for example: **Okta** login/MFA, email, Slack, VPN, Jira, GitHub), and what exact error do they see on the first one they try?    - Laptop / hardware   - Login / account access (Okta/MFA)   - VPN / network   - Email / calendar   - Specific apps (Slack/Jira/GitHub/etc.)   - Software install / permissions    [[helpiq:EA=True]]",GeneralQnA_HelpIQ,Escalation,['HelpIQ_QnA'],[],Review,Possible premature escalation: IT question may be KB-answerable — check prompt/routing,ok to escalate
multi,302,"“the reason why your team needs access to Keeper”??? because according to the wiki page, it’s “Indeed’s enterprise password and secrets management platform”, and “All Indeedians are eligible for a Keeper license”, so it would probably make sense that my team (which consists entirely of Indeed employees) would have access to it. I’m not sure why this is even a question, or why all teams at Indeed don’t have access to it by default.","You’re right to question it. Even though all Indeedians are eligible for a Keeper license, the guidance I can see doesn’t explain how new Keeper “teams” get created or why only a limited set shows up, and it also doesn’t document what wording IT expects in the “reason for access” field.  I can open a ticket and bring an IT specialist into this Slack thread to help. Would you like me to do that? [[helpiq:EA=True]]",HelpIqAgentMultiplierSoftwareRequests,GeneralQnA_HelpIQ,['HelpIqAgentApplicationAccessDetails'],"['load_catalog', 'get_app_details', 'HelpIQ_QnA']",Review,Unclassified topic mismatch (expected HelpIqAgentMultiplierSoftwareRequests got GeneralQnA_HelpIQ) — manual review,
multi,181,acn you check for me?,I can’t directly check your Book’s active Sponsored Jobs from here because I don’t have access to your account data.  Would you like me to open a ticket and bring an IT specialist into this Slack thread to help?   [[helpiq:EA=True]],Escalation,GeneralQnA_HelpIQ,['HelpIqAgentEscalateAction'],"['HelpIQ_QnA', 'HelpIQ_QnA']",Review,Possible under-escalation: verify QnA answer was appropriate vs should escalate,Good to keep as QnA
pt1,30,Requesting to create Google Suite credential for n8n workflow,"Got it — you’re trying to create a Google Suite credential for an n8n workflow.  Is this access request for **you**, or are you requesting it for someone else?    [[helpiq:EA=False]]",HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,['HelpIqAgentApplicationAccessDetails'],['load_catalog'],No,Update expected tool to load_catalog/get_app_details (v6 Glean→Apex catalog migration),Agreed
pt1,34,Open a ticket to order a macbook,"Got it — you want to open an IT ticket to order a MacBook.  Which MacBook do you need (model/size/specs), and is this for a new hire, replacement, or an additional device?   - Laptop / hardware order   - Login / account access   - VPN / network   - Email / calendar   - Software install   - Other    [[helpiq:EA=True]]",GeneralQnA_HelpIQ,Escalation,['HelpIQ_QnA'],[],No,Update expected sub agent to Escalation (explicit ticket/human/offboarding — v6 correct),Agreed
pt1,35,Open a ticket to order a macbook,Got it — you want an IT ticket opened to order a MacBook.  Here’s the ticket I’ll file:  - Issue: Order a MacBook (new laptop request)  - Details: Requesting a MacBook through IT (model will be confirmed based on eligibility/role)  Want me to submit it? [[helpiq:EA=True]],GeneralQnA_HelpIQ,Escalation,['HelpIQ_QnA'],['EscalationIntakeDiscovery'],No,Update expected sub agent to Escalation (explicit ticket/human/offboarding — v6 correct),Agreed
