case_number,trial,utterance,expected_topic,actual_topic,outcome_first_120,topic_assertion,actions_assertion,output_validation,completeness,coherence,conciseness,latency_ms
28,,Requesting to create Google Suite credential for n8n workflow,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,It seems that &quot;Google Suite&quot; (Google Workspace) is not listed in the available application records. The applic,PASS,PASS,FAILURE,FAILURE,PASS,PASS,
29,,Requesting to create Google Suite credential for n8n workflow,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,It seems that &quot;Google Suite&quot; (Google Workspace) is not listed in the available applications for access provisi,PASS,PASS,FAILURE,FAILURE,PASS,PASS,
30,,Requesting to create Google Suite credential for n8n workflow,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,It seems that &quot;Google Suite&quot; (Google Workspace) is not listed in the provided data for supported applications.,PASS,PASS,PASS,FAILURE,PASS,PASS,
49,,I need an access to Waldo and Mechabugs,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,It seems that the applications &quot;Waldo&quot; and &quot;Mechabugs&quot; are not listed in the available data for acce,PASS,PASS,FAILURE,FAILURE,PASS,PASS,
50,,I need an access to Waldo and Mechabugs,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,It seems that neither &quot;Waldo&quot; nor &quot;Mechabugs&quot; are listed in the approved application catalog. The av,PASS,PASS,FAILURE,PASS,PASS,PASS,
51,,I need an access to Waldo and Mechabugs,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,I couldn&#39;t find any information about applications named &quot;Waldo&quot; or &quot;Mechabugs&quot; in the provided ,PASS,PASS,FAILURE,PASS,PASS,PASS,
61,,Did something change with the permissions of a service account? mailto:svc_idash_testing@indeed.com can no longer log into Idash QA. We need this account for E2E testing purposes.,HelpIqAgentMultiplierSoftwareRequests,GeneralQnA_HelpIq,"I understand you need this account working again for testing.

Please use the service account request path for review an",FAILURE,FAILURE,FAILURE,PASS,PASS,PASS,
62,,Did something change with the permissions of a service account? mailto:svc_idash_testing@indeed.com can no longer log into Idash QA. We need this account for E2E testing purposes.,HelpIqAgentMultiplierSoftwareRequests,GeneralQnA_HelpIq,I understand you need this account working again for testing. A specialist should review the service account access stat,FAILURE,FAILURE,FAILURE,PASS,PASS,PASS,
63,,Did something change with the permissions of a service account? mailto:svc_idash_testing@indeed.com can no longer log into Idash QA. We need this account for E2E testing purposes.,HelpIqAgentMultiplierSoftwareRequests,GeneralQnA_HelpIq,"I understand you need this account working again for testing.

Would you like me to reach out to an IT Specialist by cre",FAILURE,FAILURE,FAILURE,FAILURE,PASS,PASS,
82,,how do I request access to floqast,HelpIqAgentMultiplierSoftwareRequests,GeneralQnA_HelpIq,"To request access to FloQast, follow these steps:

1. Visit the Help Center portal and use the [**Request Access to Soft",FAILURE,FAILURE,FAILURE,PASS,PASS,PASS,
83,,how do I request access to floqast,HelpIqAgentMultiplierSoftwareRequests,GeneralQnA_HelpIq,"I’m happy to help you with this. You can submit the access request through the standard software access form.

1. Go to ",FAILURE,FAILURE,FAILURE,PASS,PASS,PASS,
84,,how do I request access to floqast,HelpIqAgentMultiplierSoftwareRequests,GeneralQnA_HelpIq,"You can request access to FloQast by following these steps:

1. Visit the Help Center portal to [**Request Access to Sof",FAILURE,FAILURE,FAILURE,PASS,PASS,PASS,
