suite,test_number,utterance,allowed_agents,decision
pt1,4,Hiroto Yoshioka 16-17 April PTO (email: hyoshioka@indeed.com slack_user_id: WPD8U51P0) would like to request for three users masquerading features in QA Dradis from QA Skytree links. Can you create a ticket,Escalation|GeneralQnA_HelpIQ,ACCEPT
pt1,5,Hiroto Yoshioka 16-17 April PTO (email: hyoshioka@indeed.com slack_user_id: WPD8U51P0) would like to request for three users masquerading features in QA Dradis from QA Skytree links. Can you create a ticket,Escalation|GeneralQnA_HelpIQ,ACCEPT
pt1,6,Hiroto Yoshioka 16-17 April PTO (email: hyoshioka@indeed.com slack_user_id: WPD8U51P0) would like to request for three users masquerading features in QA Dradis from QA Skytree links. Can you create a ticket,Escalation|GeneralQnA_HelpIQ,ACCEPT
pt1,16,how do I get an image url hosted in salesforce?,Escalation|GeneralQnA_HelpIQ,ACCEPT
pt1,17,how do I get an image url hosted in salesforce?,Escalation|GeneralQnA_HelpIQ,ACCEPT
pt1,18,how do I get an image url hosted in salesforce?,Escalation|GeneralQnA_HelpIQ,ACCEPT
multi,152,Are you able to update urgency to low?,Escalation|GeneralQnA_HelpIQ,ACCEPT
pt2,1084,Can you help me get an IT person on a call as a new contractor cannot access a lot of different systems,Escalation|GeneralQnA_HelpIQ,ACCEPT
pt2,1085,Can you help me get an IT person on a call as a new contractor cannot access a lot of different systems,Escalation|GeneralQnA_HelpIQ,ACCEPT
multi,302,"“the reason why your team needs access to Keeper”??? because according to the wiki page, it’s “Indeed’s enterprise password and secrets management platform”, and “All Indeedians are eligible for a Keeper license”, so it would probably make sense that my team (which consists entirely of Indeed employees) would have access to it. I’m not sure why this is even a question, or why all teams at Indeed don’t have access to it by default.",HelpIqAgentMultiplierSoftwareRequests,BLANK
multi,181,acn you check for me?,Escalation|GeneralQnA_HelpIQ,ACCEPT
pt1,30,Requesting to create Google Suite credential for n8n workflow,HelpIqAgentMultiplierSoftwareRequests,ACCEPT
pt1,34,Open a ticket to order a macbook,Escalation|GeneralQnA_HelpIQ,ACCEPT
pt1,35,Open a ticket to order a macbook,Escalation|GeneralQnA_HelpIQ,ACCEPT
pt1,36,Open a ticket to order a macbook,Escalation|GeneralQnA_HelpIQ,ACCEPT
multi,178,AI Indeed Internal Agent,Ambiguous_Question|GeneralQnA_HelpIQ,ACCEPT
pt1,46,I'd like to request access to Bulk Sending in DocuSign,GeneralQnA_HelpIQ|HelpIqAgentMultiplierSoftwareRequests,ACCEPT
pt1,47,I'd like to request access to Bulk Sending in DocuSign,GeneralQnA_HelpIQ|HelpIqAgentMultiplierSoftwareRequests,ACCEPT
pt1,48,I'd like to request access to Bulk Sending in DocuSign,GeneralQnA_HelpIQ|HelpIqAgentMultiplierSoftwareRequests,ACCEPT
pt1,49,I need an access to Waldo and Mechabugs,HelpIqAgentMultiplierSoftwareRequests,ACCEPT
pt1,50,I need an access to Waldo and Mechabugs,HelpIqAgentMultiplierSoftwareRequests,ACCEPT
pt1,51,I need an access to Waldo and Mechabugs,HelpIqAgentMultiplierSoftwareRequests,ACCEPT
